Elapsed Time,Sample Temp,Heater Temp,Pressure,Rotor Speed,Shear Rate,Shear Stress,Viscosity,Temperature Setpoint,T Output,Bob Deflection,Torque,Motor Temp,Raw Encoder Value,Aux1
(hh:mm:ss),(°F),(°F),(PSIg),(RPM),(1/s),(dyne/cm²),(cP),(°F),(%),(deg.),(dyne-cm),(°C),(cts),
1.16E-05,396.4,345,99,0,0,0.0002,0,32,0,0,0.0238,30,11,0
2.31E-05,396.4,345,99,58.8,50,0.0002,0,32,0,0,0.0238,30,11,0
3.47E-05,396.1,345,99,58.8,50,1.0241,2.0481,32,0,0.072,125.3129,30,13,0
4.63E-05,395.9,345,99,58.8,50,0.5121,1.0243,410,0,0.036,62.6684,30,12,0
5.79E-05,395.9,345,99,58.8,50,0.5121,1.0243,410,70,0.036,62.6684,30,12,0
6.94E-05,395.5,345,96,58.8,50,0.5121,1.0243,410,70,0.036,62.6684,30,12,0
8.10E-05,395.5,345,99,58.8,50,0.5121,1.0243,410,70,0.036,62.6684,30,12,0
9.26E-05,395.5,345,99,58.8,50,0.5121,1.0243,410,70,0.036,62.6684,30,12,0
0.000104167,395.5,345,99,58.8,50,0.5121,1.0243,410,70,0.036,62.6684,30,12,0
0.000115741,395.5,345,99,58.8,50,0.5121,1.0243,410,70,0.036,62.6684,30,12,0
0.000127315,395.5,345,99,58.8,50,0.5121,1.0243,410,70,0.036,62.6684,30,12,0
0.000138889,395.4,346,99,58.8,50,0.5121,1.0243,410,70,0.036,62.6684,30,12,0
0.000150463,395.4,346,99,58.8,50,0.5121,1.0243,409,70,0.036,62.6684,30,12,0
0.000162037,395.4,346,99,58.8,50,0.5121,1.0243,409,70,0.036,62.6684,30,12,0
0.000173611,395.4,346,99,58.8,50,0.5121,1.0243,409,70,0.036,62.6684,30,12,0
0.000185185,395.2,346,99,58.8,50,0.5121,1.0243,409,70,0.036,62.6684,30,12,0
0.000196759,395.2,346,99,58.8,50,0.5121,1.0243,409,70,0.036,62.6684,30,12,0
0.000219907,395.2,346,99,58.8,50,0.5121,1.0243,409,70,0.036,62.6684,30,12,0
0.000231481,395,346,99,58.8,50,0.5121,1.0243,409,70,0.036,62.6684,30,12,0
0.000243056,395,346,99,58.8,50,0.5121,1.0243,409,70,0.036,62.6684,30,12,0
0.00025463,394.6,346,99,58.8,50,0.5121,1.0243,409,70,0.036,62.6684,30,12,0
0.000266204,394.5,346,99,58.8,50,0.5121,1.0243,409,70,0.036,62.6684,30,12,0
0.000277778,394.5,346,99,58.8,50,0.5121,1.0243,409,70,0.036,62.6684,30,12,0
0.000289352,394.3,346,99,58.8,50,0.5121,1.0243,409,70,0.036,62.6684,30,12,0
0.000300926,394.1,346,99,58.8,50,0.5121,1.0243,409,70,0.036,62.6684,30,12,0
0.0003125,394.1,346,99,58.8,50,0.5121,1.0243,409,70,0.036,62.6684,30,12,0
0.000324074,393.7,346,99,58.8,50,0.5121,1.0243,409,70,0.036,62.6684,30,12,0
